
Pat Irwin,  06:02, I don't think I really remember my first impression‚  
Pat Irwin,  06:06, but I remember basically having a relationship with her that was completely based on being on the phone. I never met her until many years later‚ and she was a voice on the other end of the phone. I would see her at concerts‚ so I knew what she looked like‚ but it was mostly‚ well‚ it was totally on the phone.  
Hayden Suarez-Davis,  06:42, Right? Yeah‚ I know we had a lot of‚ we‚ we've had some‚ you know‚ done some other interviews‚ and a lot of people have mentioned‚ you know‚ some of them‚ you know‚ especially in the in the 80s or whatever‚ they didn't even know what she looked like until they saw pictures of her‚ or whatever‚ just‚ you know‚ being on the phone I think. And‚ so going off of that‚ you know‚ what was it like working? What was it like working with her and organizing shows?  
Pat Irwin,  07:06, Well‚ she was the one with the experience‚ and I and my concert CO‚ concert chairperson‚ Dan Hexter‚ we were the ones with the ideas. But she knew how to make things work. She knew what budgets were. She knew what a booking agent was. She knew what routing meant. We were just fans. So‚ you know I would safely say we were clueless‚ and until we‚ you know‚ began to work with Georgia. And she would‚basically tell us what a certain Act would cost‚ what it would take to get to Grinnell‚ that type of thing. You know‚ she was our advisor‚ and she was a good advisor.  
Hayden Suarez-Davis,  08:03, Right? And‚ so you guys would go to her with like ideas in‚ you know‚ like you were essentially suggesting‚ you know‚ you were saying‚ I want to book this particular act. And then she would tell you if it was viable or not. And then she would do sort of the work on negotiating the price. Is that what you're saying?  
Pat Irwin,  08:22, Yes.  
Hayden Suarez-Davis,  08:24, Right‚ okay‚ and that was all done over the phone‚ right?  
Pat Irwin,  08:29 All over the phone‚ you said?  
Hayden Suarez-Davis,  08:31, Yeah‚ it was all done all over the phone‚ right?  
Pat Irwin,  08:34 Oh‚ totally.   
Hayden Suarez-Davis,  08:34, Right.  
Pat Irwin,  08:3,5 I mean‚ there's really no reason to do it any other way. I mean‚ that's the way it's done now.  
Hayden Suarez-Davis,  08:41, Right? Yeah.  
Hayden Suarez-Davis,  08:45, Okay‚ so‚ is there a concert or an event that you‚ that you worked on— or actually‚ I'm going to go back a little bit. When you were‚ you know‚ she was— you said you saw her at the at the shows‚ sometimes. Could you explain a little bit like‚ what were you involved with when it came to the shows? Like‚ would you help set up? Would you help sort of transport the band? Like‚ what were you involved with that she sort of set up the background‚ but then you carried out? I guess‚ if that makes any sense.  
Pat Irwin,  09:15, First of all‚ she was pretty hands off when it came to that. We had to kind of figure it out. Well‚ you know‚ we weren't completely on our own‚ but we had to figure it out. There was some set up‚ some tear down involved. I remember driving to the Cedar Rapids airport to pick up Bill Evans and his band‚ the great piano player. Other acts would arrive on their own‚ you know‚ with their own transportation.  
Pat Irwin,  09:54, You know‚ just depends on how things were routed.  
Hayden Suarez-Davis,  09:56, Right‚ so‚ she was involved with the booking aspect‚ but when it came to the actual‚ like‚ running of the shows‚ you said she was pretty hands off in that sense.   
Pat Irwin,  10:07, Totally‚ yeah.   
Hayden Suarez-Davis,  10:08, Right. Okay‚ yeah that makes sense. And then‚ you know‚ you talked about Bill Evans‚ is there sort of another concert or another event that you‚ like‚ really remember or really cherish during your time at Grinnell?  
Pat Irwin,  10:21, Oh! Many.  
Pat Irwin,  10:24, Charles Mingus was transform— that was phenomenal. I still think about it to this day. Bill Evans‚ mainly for that car ride. Asleep at the Wheel‚ I remember. I'm still in touch with them‚ you know‚ I ran into the bass player from that band recently. That was fun‚ and he remembered the gig. It was his first show with the band. The Persuasions came to my house on‚ well— I just forgot‚ I lived on Main Street for a while too. They they came to my house on Main Street after the show‚ and we stayed up all night singing. That was fun. You know‚ each one had its own little unique personality. You know‚ this was‚ like a big deal‚ just to see that kind of entertainment‚ world class stuff.  
Hayden Suarez-Davis,  11:31, Right? And‚ you know‚ a big deal in the sense of just the location‚ is what you're saying? You know‚ the location being‚ a rural area.  
Pat Irwin,  11:43, Well... no‚ I wouldn't put it that way. And as a matter of fact‚ now that I'm a working musician‚ that's— I wouldn't put it that way. No‚ it was just the proximity I had to‚ basically working musicians. You know‚ I got to talk to these guys. I got to meet them. I you know‚ it wasn't deep‚ but they were working musicians. And this was something that was very interesting to me.  
Pat Irwin,  12:17, Right? Yeah‚ that makes sense.  
Hayden Suarez-Davis,  12:20, I mean‚ when I think about something like that‚ I think of the famous— like Herbie Hancock jamming with Duke Ellington and his band when they were‚ when Duke was performing here‚ right? When Herbie was a student. I mean‚ I think it's just the‚ you know‚ if you're really interested in music‚ it's the proximity of just sort of having access to this really incredible musicianship that can really be transformative‚ and sort of make you think‚ you know‚ make you think about what you want to do‚ or sort of inspire you.  
Pat Irwin,  12:57, Right? Okay‚  
Hayden Suarez-Davis,  12:58, Okay. Yeah‚ so this is kind of a two part question‚ I'll ask the first one‚ first. How did other students feel about sort of the general social program at the time?  
Pat Irwin,  13:19, I think‚ generally speaking‚ it was a very positive program.  
Pat Irwin,  13:26, I mean‚ very positive experience. It was crucial.   
Pat Irwin,  13:28, It was essential to the campus life.  
Pat Irwin,  13:36, And‚ the arts in general‚ I think are crucial to education anyway. But you know‚ we tried to be sympathetic to a variety of tastes‚ and try to accommodate as many as possible. In retrospect‚ I think we could have been done a lot better‚ but I think we did pretty well.  
Hayden Suarez-Davis,  14:10, Yeah‚ and‚ you know‚ there's obviously the concerts and the films aspect‚ and so there's like‚ there wasn't really this sense of‚ “oh‚ you know‚ there's nothing to do or whatever.“ There was always‚ people always people always felt like there was stuff due on the weekends?  
Pat Irwin,  14:24, Oh‚ yeah.  
Hayden Suarez-Davis,  14:27, Okay‚ perfect. And so then‚ you know‚ going off of that just specifically related to Georgia. How did other students or faculty or staff for that matter‚ perceive Georgia and her contributions‚ as someone who tended to speak over the phone and was a little bit in the background‚ if you will?  
Pat Irwin,  14:45, I don't think too many people were aware of her.  
Hayden Suarez-Davis,  14:50, So not‚  
Hayden Suarez-Davis,  14:51, not many people were aware of her‚ okay‚ that makes sense.  
Pat Irwin,  14:54 not until her job was in jeopardy‚ right?  
Hayden Suarez-Davis,  14:58, Okay‚ so basically‚ you know‚ she stayed in the background‚ and then her job was in jeopardy‚ and then people just sort of came out of the woodwork and were like‚ “This person is important‚“ essentially‚ is what you're saying?  
Pat Irwin,  15:10, I wouldn't quite put it that way. No‚ I'm fact‚ not at all.   
Pat Irwin,  15:13, But we did lobby the student body‚ as well as the faculty‚ to‚ you know‚ sort of speak out on her behalf. And we‚ we got a lot of traction there.  
Hayden Suarez-Davis,  15:34, Right. Okay‚  
Hayden Suarez-Davis,  15:37, and so let's see‚ you sort of touched on this. But‚ you know‚ were there any other like controversies or incidents surrounding Georgia and the administration‚ or was it really just the conflict with her position at the time?  
Pat Irwin,  15:54, Yeah‚ I don't think there was‚  
Pat Irwin,  15:58, any sort of‚ like‚ conflict.  
Pat Irwin,  16:02, You know‚ I'm sure she had to advocate for our budget‚ but—  
Pat Irwin,  16:09, and we were sort of aware of that‚  
Pat Irwin,  16:13, —but it didn't dominate our discussions at all.  
Pat Irwin,  16:20, It wasn't‚ like I said‚  
Pat Irwin,  16:21, until she was in danger of losing her job‚ that that she became more of a presence. Not physically‚ but people just became more aware of who she was.  
Hayden Suarez-Davis,  16:34, Right? And then‚ you know‚ actually‚ this is a great segway to the next question‚ which is‚ how were concerts and student life in general impacted by the college's financial situation at the time?  
Pat Irwin,  16:47, Well‚ we had to —and this is where one thing that Georgia was just masterful at— we had to basically work within a budget. So if we wanted to have a balance of concerts throughout the year‚ each semester‚ we needed a budget for each one. And she was very‚ very‚ very‚ very conscious of that‚ and directed that.  
Hayden Suarez-Davis,  17:16, And so‚ you know‚ obviously there was a juxtaposition between‚ I guess like‚ you know‚ potentially bringing in a really popular band‚ but blowing all the budget for one show‚ versus sort of stacking concerts in between the year with like‚ you know‚ relatively less popular bands. Is that what you're saying?  
Pat Irwin,  17:38, Yeah. I mean‚ we just basically had to‚  
Pat Irwin,  17:42, budget.  
Pat Irwin,  17:45, So‚ you know‚ we learned what Acts were more economical‚ what bands. Georgia would have contacts with various agencies who knew what bands or acts would be touring‚ which allows for more economic‚ you know‚ greater economy. Rather than doing a one off‚ flying a band in from New York or wherever they live is not particularly economical‚ but grabbing a band while they're on tour is a‚ you know‚ much more economical way to go.   
Hayden Suarez-Davis,  18:29, Right? I feel like that's‚ you know‚ that's one of the things that I've definitely learned over the past couple years. But also‚ I think it's‚ you know‚ obviously important to have those connections‚ right? Like you can't really do the routing‚ if you don't have the connections to the agents. And that's where I feel like I've heard that she was really successful in that regard. Just sort of a follow up on that‚ you talked about‚ you know‚ which genres or which bands were economical. I read the the Billboard magazine piece that they did on Georgia and Grinnell concerts‚ I believe it was in 1975. And‚ one of the things that they said was that we were pretty well known for sort of straying outside of the Rock and Roll dichotomy‚ also bringing in‚ like jazz and blues artists. I was wondering if that is sort of related to this idea of‚ were jazz and blues artists more economical or less expensive than rock and roll artists during your time there?  
Pat Irwin,  19:34, Well‚ I would put it more —that is not inaccurate— but I would prefer to say it would be more pop artists. There would be‚ certainly some jazz artists who would be out of our range as well. But yeah‚ pop‚ generally speaking‚ pop and rock acts have a higher price tag.  
Hayden Suarez-Davis,  19:58, Yeah‚ right‚ okay‚ perfect‚ and I think so‚ we got through all that.  
Hayden Suarez-Davis,  20:08, So could you talk a little bit about just how your interactions with Georgia‚ sort of impacted your life? Post-Grinnell.  
Pat Irwin,  20:22, Well‚ we stayed in touch.  
Pat Irwin,  20:28, And she kept in touch with— I'm a musician. She booked my band‚ or somebody booked my band after‚ or one of my bands in there. I don't remember the year‚ but I mean‚ it was just all part of the the process for me to become a working musician. I mean‚ she kind of laid out the foundation. I'm in a very DIY type band right now. We just finished a tour. We played Nashville‚ Louisville‚ Nelsonville festival in Ohio‚ as well as Chicago. And you know‚ some of the things that I learned at Grinnell are still with me now.  
Pat Irwin,  21:23, The basics haven't changed.   
Hayden Suarez-Davis,  21:25, Yeah‚ I just‚ I just looked it up at our event list. Was this‚ I think you know‚ if you were talking about the the Raybeats‚ I believe it was?  
Pat Irwin,  21:33 Yeah!  
Hayden Suarez-Davis,  21:33, It looks like that was in May of 1981 does that sound familiar?  
Pat Irwin,  21:37, Yeah‚ I'll be damned. Sounds about right.  
Hayden Suarez-Davis,  21:41, Yeah‚ May of 1981. Yeah‚ one of the things I've been doing this semester is essentially putting together a list of events that have happened at Grinnell. And so I'm excited for people to be able to‚ you know‚ go to the website and be like‚ “oh‚ you know‚ I was here in‚ you know‚ from 1982 to 1986‚ I remember the show‚“ or whatnot that they may have forgotten about. So‚ yeah‚ that's been‚ that's been really fun. I mean‚ I think it's interesting. It's interesting‚ sort of what you're saying on the drawing aspect of the basics haven't changed. I was just talking with an alum recently from the early 2000s and that was one of the things that he said‚ where it was like being able to just sort of talk to musicians‚ and being‚ you know‚ being a concerts chair‚ booking bands‚ doing all this stuff‚ he still uses a lot of those‚ a lot of the things that he learned‚ a lot of experiences today‚ and it seems like you're sort of saying a different thing. But what I find interesting is you're saying it from a from a more musicians perspective‚ where he's saying it from an agent's perspective. So I think it's just interesting the— I don't know‚ like the range of experiences that people can‚ you know‚ that a similar role or similar title‚ if you will‚ can sort of impact different‚ like job outcomes‚ I guess.  
Pat Irwin,  22:53, Right. Yeah‚ you know. I mean‚ I just‚  
Pat Irwin,  22:58, it's the life. I mean‚ you‚ you unders— you learn‚ you know‚ seeing Charles Mingus lead his band‚ or Hound Dog Taylor showing up‚ you know. And those gigs are just as important as any other gig‚ you know? You give it all you've got‚ and you show up on time‚ you hit it‚ you quit it‚ we move on to the next one. And that can be anything from‚ you know‚ my first B-52's tour was 18 months long. You know‚ you learn to pace yourself. And‚ when you get to see great‚ great musicians in action‚ it's unforgettable. The way they act with one another‚ the way they do— what a sound check is! Just seeing Gil Scott Heron do a sound check‚ making the set list up beforehand‚ or doing it on the bandstand‚ just little‚ tiny things. I mean‚ it all adds up.  
Hayden Suarez-Davis,  24:18, No‚ yeah‚ totally. I mean‚ yeah‚ that I feel like‚ just just doing concerts for the past couple years‚ I feel like I can definitely‚ you know‚ definitely relate to that‚ just like being able to— for me‚ it's sort of like being able to sort of see the results of the work that you did‚ I guess is‚ is also kind of‚ you know‚ rewarding‚ I guess‚ in that sense. But‚ yeah‚ no‚ I think that totally makes sense. So if I remember‚ if I'm remembering correctly‚ the Mingus‚ the Charles Mingus show‚ that was in the forum‚ right?   
Pat Irwin,  24:53, Yeah.   
Hayden Suarez-Davis,  24:54, But there was something about‚ like‚ if I remember correctly‚ it was‚ ideally‚ it would not have been in the forum? I believe.   
Pat Irwin,  25:02, I'm sorry‚ what's that?   
Hayden Suarez-Davis,  25:03, So‚ like‚ ideally‚ it would have been in Roberts or something like that‚ or‚ I don't know if—  
Pat Irwin,  25:07, I don't remember anything about that. I remember being in the north lounge‚ and it was tight. But I don't remember anything with regards to that.  
Hayden Suarez-Davis,  25:21, Gotcha‚ yeah. And then just in the forum. Could you— you know‚ because we see the forum right now as‚ it's the computer services and‚ like‚ Student Health and Wellness building. So I was just wondering if you could talk a little bit about the forum‚ when it was hosting events and whatnot.  
Pat Irwin,  25:39, Well‚ there were‚ there was the North lounge and the South lounge. And some concerts were in the north‚ some were in the south‚ and they were‚ you know‚ Hound Dog Taylor‚ for instance‚ was in the south lounge‚ and it was a sweaty dance. Rocking. The smaller— you know‚ the North lounge was Mingus‚ The Persuasions. I remember Byron Browers‚ autoharp player. You know‚ it was like a coffee house in the north lounge. We sat on the floor‚ it was very‚ very intimate‚  
Hayden Suarez-Davis,  26:23, Yeah. I mean‚ I've heard a lot of really‚ really awesome stories‚ and it's just interesting to think about‚ you know‚ like I said‚ because literally‚ now it's the building‚ essentially‚ where‚ as a student‚ I go in if I'm sick or if I need help with a computer. So it's very funny to hear‚ sort of all these stories of shows or whatnot in there. Okay‚ yeah. So‚ I think‚ you know‚ I'm pretty good on all my follow ups. Just wondering‚ is there anything that you would like to add to this that we didn't specifically cover?  
Pat Irwin,  26:57, Well‚ I mean‚ generally speaking‚ I think of the concerts as an essential part of my liberal arts education.  
Pat Irwin,  27:09, Crucial.  
Pat Irwin,  27:11, And‚ every bit as important as a political science class or English literature‚ American literature‚ creative writing‚ and I hope it continues to be a vital part of campus life. I feel passionate about it right now as a working musician‚   
Pat Irwin,  27:36, also that it's just... just essential.  
Pat Irwin,  27:46, And‚ I'm thrilled to have had the experience that I had while at Grinnell. It's priceless. It was priceless. And staying in touch with Georgia after I graduated was really wonderful.  
Pat Irwin,  28:02, You know‚ she kept tabs on me and we stayed in touch. That was fun.  
Hayden Suarez-Davis,  28:07, And would you say that your classmates —even those who weren't necessarily as involved with concerts as you were— do you think they feel the same about‚ you know‚ it being an essential part of their like‚ liberal arts experience?  
Pat Irwin,  28:22, Oh‚ I think it would have to be up to the individual. I wouldn't‚ I wouldn't want to speak for anybody‚  
Hayden Suarez-Davis,  28:29, Right. Yeah‚ that makes sense. Okay? I don't think‚ I don't think I have anything else‚ any other questions to ask. Jackie‚ do you? Do you have anything else to add?   
Hayden Suarez-Davis,  28:39, He said his connection wasn't great. So I'm just going to hope that his connection is not fantastic. But yeah‚ I mean‚ Pat‚ if there's nothing else‚ if there's nothing else for you to add‚ I think‚ I think we're good. I think that essentially‚ covers all of it. Thanks for taking the time to to talk with us.  
Pat Irwin,  29:02, Cool! Stay in touch.  
Hayden Suarez-Davis,  29:05, I'll send you‚ I'll send you a link to the to the webs— to the like event list‚ thing that we have going on. We're still trying to figure out the best way to make it legible. Because‚ I mean‚ I can go back to my word‚ I have like 31 pages. Basically‚ I have like 31 pages of events. So there's a lot. And so we're trying to figure out how in the world‚ we can make it like‚ actually legible. But so I'll send you that‚ and you can‚ you can let me know what you think.  
Pat Irwin,  29:34, That'd be wonderful. Thank you.  
Hayden Suarez-Davis,  29:38, Yeah‚ thanks. Pat. I'll be in touch.   
Pat Irwin,  29:40, Take care.  
Hayden Suarez-Davis,  29:41, Bye.   
Pat Irwin,  29:41, Bye‚ now. 
